usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducacion,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
nedinburough0,"aH5rS~tDCCB,N3JR",Nariko Edinburough,nedinburough0@edu.com,Poland,no,Otro,Union libre,no,no,si,0
narents1,gG4quw~1jW2g7,Nealy Arents,narents1@edu.com,China,no,Otro,Union libre,si,no,no,0
mmcmanus2,vX8mL(q)g$cc&Ir$,Mordecai McManus,mmcmanus2@edu.com,China,no,Masculino,Soltero,si,si,si,0
oinwood3,rE8}=#Kd{}H,Otha Inwood,oinwood3@edu.com,France,no,Femenino,Union libre,no,si,no,0
sandrzejczak4,jE7*u#hl5wep,Sherye Andrzejczak,sandrzejczak4@edu.com,China,si,Femenino,Casado,si,si,si,0
tchadburn5,nK0%>VGzSpDL,Tracie Chadburn,tchadburn5@edu.com,Indonesia,si,Femenino,Soltero,si,no,si,0
zbaltrushaitis6,pJ0stYn7/GzHwr,Zeke Baltrushaitis,zbaltrushaitis6@edu.com,Peru,no,Masculino,Viudo,no,si,si,0
acrigin7,mL2Xdl)T,Ambrosio Crigin,acrigin7@edu.com,Ecuador,no,Femenino,Soltero,si,no,si,0
ldamerell8,aU0yd~$Zb@$GD,Livvie Damerell,ldamerell8@edu.com,Peru,no,Masculino,Union libre,si,no,no,0
lbowdidge9,lH9MO@4WNZ7S,Liz Bowdidge,lbowdidge9@edu.com,Belarus,si,Otro,Divorciado,si,si,si,0
rmcgillicuddya,uV1MoCi)Pzt,Ramsay McGillicuddy,rmcgillicuddya@edu.com,Philippines,no,Masculino,Union libre,no,si,si,0
ndeb,"lF60gS9""T~7s.",Nalani De Brett,ndeb@edu.com,China,no,Femenino,Soltero,no,si,no,0
kdonaherc,pD2D}RwM9q,Kliment Donaher,kdonaherc@edu.com,China,no,Otro,Union libre,no,no,si,0
mcharkerd,iA70a{xDOc=,Mimi Charker,mcharkerd@edu.com,Portugal,no,Femenino,Divorciado,no,no,no,0
tplake,tP4d|G5X0A4m0+{,Tadeo Plak,tplake@edu.com,Poland,no,Otro,Viudo,no,si,si,0
bhallanf,"mJ5""b'4i5wc",Binky Hallan,bhallanf@edu.com,Indonesia,no,Otro,Union libre,si,no,si,0
kmcmorlandg,jN7eg!EcB8WLggxT,Kara McMorland,kmcmorlandg@edu.com,Afghanistan,si,Otro,Divorciado,si,si,si,0
twetheredh,yA1jXirPH\Tro%,Tristam Wethered,twetheredh@edu.com,Argentina,si,Masculino,Divorciado,no,si,si,0
pebralli,"bG4z5""3bXHJ",Patty Ebrall,pebralli@edu.com,Russia,no,Femenino,Divorciado,no,no,si,0
cwaldockej,tN2*!v9O/N#Qze,Cam Waldocke,cwaldockej@edu.com,France,si,Femenino,Casado,no,no,no,0
bpagonk,pN7Ms6k4mZ|9,Bebe Pagon,bpagonk@edu.com,North Korea,no,Femenino,Union libre,no,si,si,0
mblastockl,jF1PJ{pBD,Marnie Blastock,mblastockl@edu.com,China,si,Femenino,Casado,no,si,no,0
eboikm,oE1'jQ96a,Edgard Boik,eboikm@edu.com,Bangladesh,si,Otro,Casado,no,si,si,0
dhawgoodn,fI6'(_SkA,Dana Hawgood,dhawgoodn@edu.com,Comoros,no,Otro,Union libre,si,no,si,0
mclymero,"fS4""Lug(hxJp",Milty Clymer,mclymero@edu.com,China,si,Femenino,Casado,si,si,si,0
emcconnalp,"vN7z,ffcXw)S$h+#",Elsbeth McConnal,emcconnalp@edu.com,Argentina,si,Masculino,Union libre,si,si,si,0
ybilsonq,"fA6p9""0x~jspBH)h",Yank Bilson,ybilsonq@edu.com,Indonesia,no,Femenino,Union libre,si,no,si,0
xkonradr,uG2G|\olJ,Xenos Konrad,xkonradr@edu.com,China,si,Masculino,Viudo,no,si,no,0
mmapholms,xG4sZ+Q~<FX,Mariquilla Mapholm,mmapholms@edu.com,Honduras,si,Otro,Soltero,si,no,no,0
owiltsheart,zG6+!yQA<,Obadias Wiltshear,owiltsheart@edu.com,China,no,Femenino,Union libre,si,si,no,0
lswindleu,nM9Z2wHLb.@,Lin Swindle,lswindleu@edu.com,Indonesia,si,Otro,Divorciado,no,si,si,0
erickerdv,wN8&`L/bL,Eyde Rickerd,erickerdv@edu.com,Venezuela,no,Otro,Casado,no,no,si,0
mhenrysw,yA8i@1+<QP,Moore Henrys,mhenrysw@edu.com,China,si,Masculino,Casado,no,no,si,0
emceneryx,gZ6JE?Ps/`VCeT,Eric McEnery,emceneryx@edu.com,China,si,Otro,Soltero,no,no,no,0
bdukelowy,kN3S%9.Z6|'5xt,Brett Dukelow,bdukelowy@edu.com,China,no,Otro,Soltero,no,no,si,0
bsnewinz,nB19r??7V(`Xwv!,Buckie Snewin,bsnewinz@edu.com,Germany,si,Masculino,Divorciado,no,si,si,0
kcochrane10,fU0Eo$bP9qk?50,Kincaid Cochrane,kcochrane10@edu.com,China,si,Masculino,Divorciado,no,no,no,0
ebruun11,"dS4\h""?O4/",Elissa Bruun,ebruun11@edu.com,China,si,Masculino,Casado,si,si,si,0
wbonson12,zM6A<s`kzaf1h_/,Washington Bonson,wbonson12@edu.com,China,si,Masculino,Casado,no,si,no,0
fwoodfin13,jA3Dm|lI79L,Fielding Woodfin,fwoodfin13@edu.com,Armenia,si,Otro,Soltero,no,no,si,0
veddisforth14,"hR8GVBGz,lG""!v",Vivien Eddisforth,veddisforth14@edu.com,United States,no,Otro,Union libre,no,no,no,0
dmactrustram15,yS0h/=1fp_JV+.3),Delphine MacTrustram,dmactrustram15@edu.com,Tanzania,no,Otro,Casado,no,no,no,0
nstollen16,gU6R0y>nuf4,Natal Stollen,nstollen16@edu.com,United States,si,Otro,Viudo,no,no,si,0
hklaggeman17,dG45>5AF_oE,Hannah Klaggeman,hklaggeman17@edu.com,Poland,si,Masculino,Casado,si,si,si,0
cmawer18,pM5.VTvu8/9,Charissa Mawer,cmawer18@edu.com,Vietnam,no,Otro,Soltero,no,no,si,0
utolcharde19,vH6)1Rg0,Ursuline Tolcharde,utolcharde19@edu.com,Gambia,no,Masculino,Casado,si,no,no,0
mchurn1a,"sD6bj1&~(W""=%Emj",Marnie Churn,mchurn1a@edu.com,Ivory Coast,no,Femenino,Soltero,no,no,no,0
ssunnucks1b,"nZ00ipW""e",Sigismondo Sunnucks,ssunnucks1b@edu.com,Indonesia,si,Otro,Union libre,si,no,si,0
akulicke1c,tT09L*<$KYx,Ardyth Kulicke,akulicke1c@edu.com,Bosnia and Herzegovina,no,Otro,Viudo,no,si,no,0
esowrah1d,dV7`wwC\a8t6),Emili Sowrah,esowrah1d@edu.com,Poland,si,Femenino,Divorciado,no,no,si,0
wlukasik1e,sZ9a/R6_G#Y6B,Winonah Lukasik,wlukasik1e@edu.com,Malta,no,Masculino,Viudo,si,no,no,0
gmcpaike1f,"gX0,=EVcOxQ",Gene McPaike,gmcpaike1f@edu.com,Indonesia,si,Otro,Divorciado,no,si,si,0
bcapitano1g,xS3fQ_.dG=.,Bessy Capitano,bcapitano1g@edu.com,Russia,si,Masculino,Union libre,si,no,no,0
lcod1h,oH4aD!Ty@,Lorena Cod,lcod1h@edu.com,Russia,no,Otro,Union libre,si,no,si,0
gagastina1i,gK5(I'YD6,Gustie Agastina,gagastina1i@edu.com,Philippines,no,Femenino,Union libre,no,no,si,0
rdowdell1j,tD0sfoz#,Ruthe Dowdell,rdowdell1j@edu.com,China,si,Masculino,Union libre,no,no,no,0
sbarratt1k,nA40Qk/?'hf,Simonne Barratt,sbarratt1k@edu.com,Venezuela,si,Masculino,Union libre,no,si,no,0
cskeels1l,oJ4%)M'zy,Carlita Skeels,cskeels1l@edu.com,Peru,si,Otro,Casado,si,si,si,0
crymour1m,kX7Kg4TNaCuQyj@D,Cate Rymour,crymour1m@edu.com,France,no,Masculino,Divorciado,si,si,no,0
smcane1n,dU8'qQt'*maw=!,Selina McAne,smcane1n@edu.com,Colombia,si,Masculino,Union libre,si,no,si,0
mmcgebenay1o,"eZ2.(Z!KXhHz,TDs",Marinna McGebenay,mmcgebenay1o@edu.com,China,si,Masculino,Divorciado,si,si,no,0
pdeluze1p,bM4z}'K8GU)L>w3*,Pierrette Deluze,pdeluze1p@edu.com,Argentina,si,Masculino,Viudo,no,no,no,0
hmoles1q,"rM8Uby,n`#",Heloise Moles,hmoles1q@edu.com,Czech Republic,si,Masculino,Divorciado,si,si,no,0
salbury1r,gF0Dc0a3{HEK,Sharleen Albury,salbury1r@edu.com,Poland,si,Masculino,Viudo,si,no,no,0
raslett1s,uP0vT'/Ze,Rhea Aslett,raslett1s@edu.com,France,si,Masculino,Union libre,si,si,no,0
kyeates1t,bQ6j>~uzp$zgP5,Krista Yeates,kyeates1t@edu.com,Philippines,no,Otro,Soltero,no,no,no,0
bseals1u,pF8gMNy5yT!Oalg4,Bevan Seals,bseals1u@edu.com,Canada,no,Femenino,Divorciado,si,no,si,0
aperrelle1v,lC8H~_nR#,Anneliese Perrelle,aperrelle1v@edu.com,South Korea,si,Femenino,Union libre,no,si,si,0
elangham1w,aV2O!HIx}t!,Eachelle Langham,elangham1w@edu.com,Ukraine,si,Otro,Casado,no,no,si,0
kriatt1x,"hY0'bULB`n""{J<",Koenraad Riatt,kriatt1x@edu.com,Albania,no,Femenino,Divorciado,no,si,si,0
sstickens1y,kJ5P.NIWQ@0q8,Shirlee Stickens,sstickens1y@edu.com,China,no,Femenino,Viudo,no,si,si,0
atatton1z,oQ3y'YQPsiX,Adriana Tatton,atatton1z@edu.com,Afghanistan,si,Otro,Union libre,si,si,si,0
codlin20,"xG3##,m<_e",Cami Odlin,codlin20@edu.com,Ivory Coast,si,Masculino,Soltero,si,no,si,0
dsteggles21,"kN8""L""b1/lqDW+wI",Daffy Steggles,dsteggles21@edu.com,Indonesia,si,Masculino,Viudo,si,no,no,0
rdalliston22,uB1BjCZLaN**7,Roscoe Dalliston,rdalliston22@edu.com,Syria,no,Femenino,Viudo,no,no,si,0
ichantler23,dC4rZ2l9gWTJ_6j,Inessa Chantler,ichantler23@edu.com,China,si,Masculino,Casado,si,si,no,0
dparkins24,sX6S5I<+Mt<}z,Deva Parkins,dparkins24@edu.com,Indonesia,si,Masculino,Soltero,si,no,no,0
cmacqueen25,bG6gT8l9hmZx,Celinda MacQueen,cmacqueen25@edu.com,Brazil,no,Femenino,Casado,si,no,si,0
framsbottom26,"jZ44UY.""LpV",Findlay Ramsbottom,framsbottom26@edu.com,Greece,si,Masculino,Viudo,no,no,no,0
fspawton27,fF6OdBgD,Flint Spawton,fspawton27@edu.com,China,si,Masculino,Soltero,no,si,no,0
bcarrick28,sM8h++cV|&,Brit Carrick,bcarrick28@edu.com,Sweden,no,Femenino,Casado,si,no,no,0
gcreaven29,bK4~@S'32,Gert Creaven,gcreaven29@edu.com,China,no,Masculino,Divorciado,si,no,si,0
educk2a,fA9M~I<#j1X4N,Erwin Duck,educk2a@edu.com,China,no,Masculino,Soltero,si,no,si,0
adaveley2b,yJ2!~6}IRp_kla,Anatollo Daveley,adaveley2b@edu.com,France,no,Masculino,Soltero,no,si,no,0
acradduck2c,lG8t#pMNnQb6b$#,Adena Cradduck,acradduck2c@edu.com,Indonesia,no,Otro,Viudo,si,no,si,0
rmoule2d,xA4ZYC/yG2ms1@NA,Rayshell Moule,rmoule2d@edu.com,Thailand,si,Otro,Viudo,no,no,no,0
croyce2e,"fW2',=lHy0r_c",Cherilyn Royce,croyce2e@edu.com,Indonesia,si,Otro,Casado,si,no,no,0
sspoure2f,pH6_`=8VFg\uuF<,Sawyer Spoure,sspoure2f@edu.com,Indonesia,si,Femenino,Union libre,si,si,no,0
jkidson2g,gE6PZ<fQ&W,Jordan Kidson,jkidson2g@edu.com,Peru,no,Femenino,Soltero,no,si,no,0
sfallawe2h,"bF4gzp|$9iI""",Sheridan Fallawe,sfallawe2h@edu.com,Peru,no,Otro,Union libre,si,si,si,0
jsansum2i,vU6>oJHbEdJ,Jorge Sansum,jsansum2i@edu.com,Benin,si,Otro,Soltero,si,no,no,0
wcuncliffe2j,gQ44/~y1rP''+wIC,Wendy Cuncliffe,wcuncliffe2j@edu.com,Tanzania,no,Otro,Union libre,si,si,si,0
tbruneau2k,xY01<`{f,Tyrus Bruneau,tbruneau2k@edu.com,United States,si,Femenino,Divorciado,no,no,si,0
gdoghartie2l,fY68NpI0`>pys.R%,Grata Doghartie,gdoghartie2l@edu.com,Poland,no,Otro,Soltero,si,no,no,0
kubee2m,"bW7nH|{1R,e/j{r",Kathi Ubee,kubee2m@edu.com,Montenegro,si,Masculino,Divorciado,si,si,no,0
djorcke2n,zG6/22pT<_7,Devon Jorcke,djorcke2n@edu.com,Sweden,si,Femenino,Casado,no,si,si,0
mvan2o,uQ2i*.OT8,Merry Van Leeuwen,mvan2o@edu.com,Colombia,si,Otro,Casado,si,no,si,0
lpetrovykh2p,aS2(IbT4l@\,Lief Petrovykh,lpetrovykh2p@edu.com,Thailand,si,Otro,Viudo,si,no,no,0
feaster2q,rK9JphOMKt'z7s>R,Fitzgerald Easter,feaster2q@edu.com,Afghanistan,si,Otro,Soltero,no,no,no,0
aburland2r,uY90}feoU,Aluino Burland,aburland2r@edu.com,Croatia,no,Otro,Divorciado,si,si,si,0
gsnasdell2s,xD5e_m{r@4@,Giuseppe Snasdell,gsnasdell2s@edu.com,China,no,Masculino,Casado,si,si,si,0
tbrissard2t,vC1d?FkDv,Timoteo Brissard,tbrissard2t@edu.com,Morocco,no,Masculino,Soltero,si,no,no,0
klatan2u,uT0z'B`<E2,King Latan,klatan2u@edu.com,Canada,si,Femenino,Casado,no,si,si,0
krizziello2v,"eR3r5'4.++63_V""8",Koralle Rizziello,krizziello2v@edu.com,Sweden,si,Femenino,Union libre,no,no,no,0
